Carrozzeria,id_annuncio,Alimentazione,Tipo di veicolo,Anno,Marca,Modello,Porte,Posti a sedere,Tipo di cambio,Tipo di unita,Colore esterno,Emissioni di CO2,Rivestimenti,Colore originale,Marce,Tipo di vernice,Peso a vuoto,Usato Garantito,Per neopatentati,Proprietari,Cilindrata,Classe emissioni,Cilindri,Veicolo per non fumatori,Consumo carburante,Tagliandi certificati
SUV/Fuoristrada/Pick-up,ac7ef95a-2d17-418c-b435-73f240c4e6ab,Elettrica,KM0,2020,Hyundai,Kona,5,5,Automatico,anteriore,Bianco,0 g CO2/km (comb.),"Pelle totale, Nero",BICOLOR-BIANCO TETTO NERO,1,Metallizzato,,60 mese,,1,,,,,,
SUV/Fuoristrada/Pick-up,787becc8-20b5-4908-aa5d-cead17900a56,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Bianco,0 g CO2/km (comb.),"Stoffa, Altro",,,Metallizzato,,Sì,,,,,,,,
SUV/Fuoristrada/Pick-up,8ba883f6-65f9-4b1e-8be6-96ef0b9c528c,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Blu/Azzurro,0 g CO2/km (comb.),,Blu,8,Metallizzato,2555,,,,,,,,,
SUV/Fuoristrada/Pick-up,2beee124-22c4-4099-be15-297908c4259d,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Blu/Azzurro,0 g CO2/km (comb.),,Blu,8,Metallizzato,2555,,,,,,,,,
SUV/Fuoristrada/Pick-up,d5940fb9-02cd-4cb0-8318-f940f198e981,Elettrica,KM0,2020,Audi,e-tron,5,5,Automatico,4x4,Nero,0 g CO2/km (comb.),"Pelle parziale, Altro",Nero mito metallizzato,1,Metallizzato,,,,,,,,Sì,,
SUV/Fuoristrada/Pick-up,41221fd8-3379-4ce0-82bb-793e346513bb,Elettrica,KM0,2019,Jaguar,I-Pace,5,5,Automatico,4x4,Nero,0 g CO2/km (comb.),"Pelle totale, Marrone",Nero,8,Metallizzato,2208,36 mese,,,,,,,,
SUV/Fuoristrada/Pick-up,adfa4bb9-377b-46d2-a8b5-d1ce2effd347,Elettrica,KM0,2019,Audi,e-tron,5,5,Automatico,4x4,Bianco,0 g CO2/km (comb.),"Stoffa, Altro",,,,,Sì,,,,,,,,
Station wagon,f8b60af6-bf76-4a9b-8ac1-d82d17b464f2,Elettrica,KM0,2019,Audi,A4,5,5,Manuale,anteriore,Grigio,0 g CO2/km (comb.),"Altro, Nero",Grigio daytona perlato,6,,,,,,1984,,,,,
Station wagon,df6ce246-8cf6-4b7f-a7da-a785413ea827,Elettrica,KM0,2020,Audi,A4,5,5,Automatico,anteriore,Nero,0 g CO2/km (comb.),"Altro, Altro",,7,,,Sì,,,,,,,,
Station wagon,a3894077-6307-44fe-854f-def87b1b1953,Elettrica,KM0,2019,Audi,A4,5,5,Manuale,anteriore,Argento,0 g CO2/km (comb.),"Altro, Nero",Argento fioretto metalliz,6,Metallizzato,,,,,1984,,,,,
