seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Gruppo Carmeli SpA,Nissan Leaf,IT,25030 Coccaglio - Brescia - Bs,6baa5996-033a-482e-b0f8-e46087367a83,"€ 28.900,- 12",12,28900,https://www.autoscout24.it/annunci/nissan-leaf-acenta-40-kwh-nuova-cerchi-16-navi-elettrica-bianco-6baa5996-033a-482e-b0f8-e46087367a83?cldtidx=7&cldtsrc=listPage,"Acenta 40 kWh , NUOVA - CERCHI 16"" - NAVI"
Campello Motors,Altro XEV,Ufficio Vendite,IT,3bd57db5-95b8-4e10-b892-65fc4a6816c2,"€ 23.800,- 2",2,23800,https://www.autoscout24.it/annunci/others-xev-iev7s-100-elettrica-autonomia-320-km-elettrica-argento-3bd57db5-95b8-4e10-b892-65fc4a6816c2?cldtidx=8&cldtsrc=listPage,IEV7s - 100% ELETTRICA - Autonomia 320 km
Oberti Spa,Renault ZOE,Enzo Zanchi,IT,7a114d87-3f98-465d-8b4a-8d1563a64f15,"€ 17.250,- 12",12,17250,https://www.autoscout24.it/annunci/renault-zoe-zen-r110-flex-km0-elettrica-grigio-7a114d87-3f98-465d-8b4a-8d1563a64f15?cldtidx=9&cldtsrc=listPage,"Zen R110 Flex, KM0"
Oberti Spa,Renault ZOE,Enzo Zanchi,IT,0c1f9091-6d9b-42d2-8b12-02fc09c822dd,"€ 18.250,- 12",12,18250,https://www.autoscout24.it/annunci/renault-zoe-zen-r135-flex-km-0-elettrica-blu-azzurro-0c1f9091-6d9b-42d2-8b12-02fc09c822dd?cldtidx=10&cldtsrc=listPage,"Zen R135 Flex, KM 0"
Gozzini Srl,Citroen C-Zero,Riccardo Gozzini,IT,4ca5a2bc-f869-46f5-8e23-993a61e1c2ab,"€ 11.300,- 12",12,11300,https://www.autoscout24.it/annunci/citroen-c-zero-full-electric-airdream-seduction-km-zero-elettrica-bianco-4ca5a2bc-f869-46f5-8e23-993a61e1c2ab?cldtidx=11&cldtsrc=listPage,Full Electric airdream Seduction KM ZERO
Gozzini Srl,Citroen C-Zero,Riccardo Gozzini,IT,a7621616-17e8-4aca-ae27-087dec3bd480,"€ 11.300,- 12",12,11300,https://www.autoscout24.it/annunci/citroen-c-zero-full-electric-airdream-seduction-km-zero-elettrica-bianco-a7621616-17e8-4aca-ae27-087dec3bd480?cldtidx=12&cldtsrc=listPage,Full Electric airdream Seduction KM ZERO
Bonera Spa,smart forTwo,IT,25135 Brescia - Bs,a6d1b61a-7b41-43f1-a9c3-b16156a27f08,"€ 21.900,- 12",12,21900,https://www.autoscout24.it/annunci/smart-fortwo-eq-pulse-elettrica-grigio-a6d1b61a-7b41-43f1-a9c3-b16156a27f08?cldtidx=13&cldtsrc=listPage,eq Pulse
Autoleone 2 Srl & Lancar Spa,Peugeot 208,IT,10092 Beinasco - Torino - To,c0cb7603-43c0-45d9-8e0b-df3e6b12d25d,"€ 24.750,- 2",2,24750,https://www.autoscout24.it/annunci/peugeot-208-allure-136-cv-elettrica-blu-azzurro-c0cb7603-43c0-45d9-8e0b-df3e6b12d25d?cldtidx=14&cldtsrc=listPage,Allure 136 CV
Autospazio - Gruppo Carmeli SpA,Renault ZOE,IT,25010 San Zeno Naviglio - Brescia,bc06025b-eda2-4b41-b08e-4ba7e9ebe210,"€ 15.300,- 12",12,15300,https://www.autoscout24.it/annunci/renault-zoe-zen-r135-flex-nuova-100-elettrica-elettrica-lilla-bc06025b-eda2-4b41-b08e-4ba7e9ebe210?cldtidx=15&cldtsrc=listPage,"Zen R135 Flex , NUOVA - 100% ELETTRICA"
Ferrari Giorgio Spa,Peugeot 208,IT,41100 Modena - Mo,52faf4f1-35d8-40e0-93f2-6b6d2edc3fdb,"€ 26.800,- 12",12,26800,https://www.autoscout24.it/annunci/peugeot-208-motore-elettrico-136-cv-5-porte-allure-elettrica-bianco-52faf4f1-35d8-40e0-93f2-6b6d2edc3fdb?cldtidx=16&cldtsrc=listPage,motore elettrico 136 CV 5 porte Allure
