seller,vehicle,country,address,id_annuncio,asking_price,conditional_on_price,price,link_annuncio,vehicle_user_desc
Pizzala Srl,MINI Cooper,IT,20013 Magenta - Milano - Mi,bf682ac9-9907-4741-aaa1-fc453e34d57a,"€ 25.300,- 12",12,25300,https://www.autoscout24.it/annunci/mini-cooper-1-5-cooper-d-diesel-blu-azzurro-bf682ac9-9907-4741-aaa1-fc453e34d57a?cldtidx=8&cldtsrc=listPage,1.5 Cooper D
Mobility.it - Km 0 - Gruppo Lario,BMW 218,IT,20125 Milano - Mi,c5e386e3-949b-46bf-8d14-a3e954476ae8,"€ 30.900,- 2",2,30900,https://www.autoscout24.it/annunci/bmw-218-serie-2-218d-active-tourer-aut-sport-line-6t91-diesel-bianco-c5e386e3-949b-46bf-8d14-a3e954476ae8?cldtidx=9&cldtsrc=listPage,SERIE 2 218D ACTIVE TOURER AUT SPORT LINE (6T91)
Mobility.it - Km 0 - Gruppo Lario,BMW 218,IT,20125 Milano - Mi,d5ddee7e-fd48-4a02-b585-96b8186717a7,"€ 32.900,- 2",2,32900,https://www.autoscout24.it/annunci/bmw-218-serie-2-218d-gran-tourer-aut-sport-line-6w91-diesel-grigio-d5ddee7e-fd48-4a02-b585-96b8186717a7?cldtidx=10&cldtsrc=listPage,SERIE 2 218D GRAN TOURER AUT SPORT LINE (6W91)
NANNI NEMBER SRL,MINI Cooper D,IT,25126 Brescia - Bs,b4c23848-2709-4534-9934-d5f11938edef,"€ 26.000,- 2",2,26000,https://www.autoscout24.it/annunci/mini-cooper-d-aut-pelle-navi-hype-line-pronta-consegna-diesel-nero-b4c23848-2709-4534-9934-d5f11938edef?cldtidx=11&cldtsrc=listPage,"AUT. PELLE, NAVI, HYPE LINE PRONTA CONSEGNA"
Ricchi Auto Srl,SEAT Leon,IT,20825 Barlassina - Monza Brianza - Mb,1eb5cfdd-5ef8-4f47-bd3f-1dac302fb7e3,"€ 20.900,- 2",2,20900,https://www.autoscout24.it/annunci/seat-leon-leon-1-6-tdi-115-cv-dsg-business-km-0-diesel-grigio-1eb5cfdd-5ef8-4f47-bd3f-1dac302fb7e3?cldtidx=12&cldtsrc=listPage,Leon 1.6 TDI 115 CV DSG BUSINESS KM.0!!
FIMAUTO SPA,BMW 420,IT,37136 Verona - Vr,be294c24-cfc4-4ab3-a0a4-40a10c179d2c,"€ 47.900,- 12",12,47900,https://www.autoscout24.it/annunci/bmw-420-d-cabrio-msport-aut-diesel-nero-be294c24-cfc4-4ab3-a0a4-40a10c179d2c?cldtidx=1&cldtsrc=listPage,d Cabrio Msport Aut.
FIMAUTO SPA,BMW 420,IT,37136 Verona - Vr,1f3f227b-5320-4aae-b6cc-03b56365a470,"€ 49.900,- 12",12,49900,https://www.autoscout24.it/annunci/bmw-420-d-cabrio-msport-aut-diesel-bianco-1f3f227b-5320-4aae-b6cc-03b56365a470?cldtidx=2&cldtsrc=listPage,d Cabrio Msport Aut.
AUTOGEMELLI,BMW 420,IT,36100 Vicenza - Vi,bd6857fa-6585-49bb-99ab-a5b991be2306,"€ 49.900,- 12",12,49900,https://www.autoscout24.it/annunci/bmw-420-d-cabrio-msport-aut-diesel-bianco-bd6857fa-6585-49bb-99ab-a5b991be2306?cldtidx=3&cldtsrc=listPage,d Cabrio Msport Aut.
AUTOGEMELLI,BMW 420,IT,36100 Vicenza - Vi,2adfbb82-c045-43e2-82f6-631719418747,"€ 47.900,- 12",12,47900,https://www.autoscout24.it/annunci/bmw-420-d-cabrio-msport-aut-diesel-nero-2adfbb82-c045-43e2-82f6-631719418747?cldtidx=4&cldtsrc=listPage,d Cabrio Msport Aut.
Grignolio & C. srl,Jeep Wrangler,Simone Parisi,IT,25df9043-c7eb-4de2-82eb-a32fc775568b,"€ 55.900,- 2",2,55900,https://www.autoscout24.it/annunci/jeep-wrangler-unlimited-2-2-mjt-ii-sahara-diesel-nero-25df9043-c7eb-4de2-82eb-a32fc775568b?cldtidx=5&cldtsrc=listPage,Unlimited 2.2 Mjt II Sahara
Lodauto Spa,Mercedes-Benz C 220,Servizio Clienti,IT,c2f1884d-4bda-438a-8dc1-be35895970f9,"€ 50.990,- 12",12,50990,https://www.autoscout24.it/annunci/mercedes-benz-c-220-c-220d-4matic-automatic-cabrio-sport-diesel-nero-c2f1884d-4bda-438a-8dc1-be35895970f9?cldtidx=6&cldtsrc=listPage,C 220d 4Matic Automatic Cabrio Sport
SASSUOLAUTO SERVICE SRL,BMW 218,IT,42013 Veggia Casalgrande - Reggio Emilia - Re,16c361dd-dcd9-40af-97a6-b2628ebcc4d3,"€ 31.900,- 12",12,31900,https://www.autoscout24.it/annunci/bmw-218-d-cabrio-sport-aut-diesel-nero-16c361dd-dcd9-40af-97a6-b2628ebcc4d3?cldtidx=7&cldtsrc=listPage,d Cabrio Sport aut.
AUTOCLUB SPA,BMW 218,IT,41123 Modena - Mo,7e24ea08-3e05-4edd-8270-5aee6518e294,"€ 31.900,- 12",12,31900,https://www.autoscout24.it/annunci/bmw-218-d-cabrio-sport-aut-diesel-nero-7e24ea08-3e05-4edd-8270-5aee6518e294?cldtidx=8&cldtsrc=listPage,d Cabrio Sport aut.
AUTOCROCETTA SPA - FILIALE BIELLA,MINI Cooper SD Cabrio,IT,13900 Biella - Bi,52292af3-a45e-43e8-b2f8-2933fb4ab2c7,"€ 34.500,- 12",12,34500,https://www.autoscout24.it/annunci/mini-cooper-sd-cabrio-2-0-aut-hype-diesel-argento-52292af3-a45e-43e8-b2f8-2933fb4ab2c7?cldtidx=9&cldtsrc=listPage,2.0 aut. Hype
Gruppo S2 Padova,Audi A5,IT,35010 Padova - Pd,c96f0ec0-e2c1-4735-96d7-958abbee67f5,"€ 45.900,- 12",12,45900,https://www.autoscout24.it/annunci/audi-a5-cabrio-40-tdi-quattro-s-tronic-s-line-edition-diesel-nero-c96f0ec0-e2c1-4735-96d7-958abbee67f5?cldtidx=10&cldtsrc=listPage,Cabrio 40 TDI quattro S tronic S line edition
Gruppo S2 Feltre,Audi A5,IT,32032 Feltre - Bl,0a9a8353-7fe2-46c2-a9d1-3dc094a6be8b,"€ 45.900,- 12",12,45900,https://www.autoscout24.it/annunci/audi-a5-cabrio-40-tdi-quattro-s-tronic-s-line-edition-diesel-nero-0a9a8353-7fe2-46c2-a9d1-3dc094a6be8b?cldtidx=11&cldtsrc=listPage,Cabrio 40 TDI quattro S tronic S line edition
Crema Diesel Usato Store,Mercedes-Benz C 220,Crema Diesel,IT,e047113b-3f4d-43b9-a79d-1d7f13459b00,"€ 58.700,- 12",12,58700,https://www.autoscout24.it/annunci/mercedes-benz-c-220-c-220d-4matic-automatic-cabrio-premium-diesel-nero-e047113b-3f4d-43b9-a79d-1d7f13459b00?cldtidx=12&cldtsrc=listPage,C 220d 4Matic Automatic Cabrio Premium
Bossoni Automobili Spa,Audi A5,IT,26100 Cremona - Cr,53ed7b9b-33ef-4eef-aa5e-03c89d241f92,"€ 50.900,- 12",12,50900,https://www.autoscout24.it/annunci/audi-a5-cabriolet-40-tdi-190cv-s-tronic-business-sport-diesel-blu-azzurro-53ed7b9b-33ef-4eef-aa5e-03c89d241f92?cldtidx=13&cldtsrc=listPage,Cabriolet 40 TDI 190CV S tronic Business Sport
Mobility.it - Km 0 - Gruppo Lario,BMW 218,IT,20125 Milano - Mi,25be7125-cee8-4235-95a6-1ec9d87c722c,"€ 37.900,- 2",2,37900,https://www.autoscout24.it/annunci/bmw-218-serie-2-d-cabrio-aut-msport-2n51-diesel-bianco-25be7125-cee8-4235-95a6-1ec9d87c722c?cldtidx=14&cldtsrc=listPage,SERIE 2 D CABRIO AUT.MSPORT (2N51)
